3.25,3.315,17.725,9.268,18.072,15.829,7.234,4.442,3.335,5.042,3.035,4.285,3.093,7.667,3.375,3.119,2.14,1.682,1.439,14.24,2.538,1.707,1.818,1.347,3.451,0.912,1.041,0.703,26.871,2.217,1.628,0.896,0.46,0.388,0.273,0.215,0.967,0.467,0.283,0.179,0.125,0.115,0.076,0.137,0.332,0.286,0.478,0.292,1.788,0.773,0.95,7.11
6.633,3.636,5.671,2.441,1.551,1.458,2.457,2.683,3.134,4.462,2.043,7.437,13.92,37.532,6.671,4.702,6.28,8.83,15.208,2.728,38.167,2.741,1.949,2.085,2.701,0.85,1.144,0.818,0.928,5.37,8.596,24.018,20.5,10.765,2.295,1.132,0.758,0.542,1.057,0.386,0.36,1.017,0.35,0.354,0.325,0.524,0.252,0.178,0.773,1.885,1.525,2.521
4.736,45.566,3.546,3.024,15.097,6.724,7.136,6.16,3.074,44.748,5.474,5.265,17.734,8.974,7.301,3.63,3.422,2.722,1.851,1.57,1.157,1.315,0.754,1.205,1.248,4.384,0.995,0.522,0.214,0.12,0.187,0.482,0.273,0.131,0.084,0.05,0.036,0.022,0.023,0.186,1.081,17.516,1.113,4.841,10.871,2.776,7.739,15.553,2.413,14.822,8.328,42.799
6.672,16.504,7.79,9.202,4.763,9.072,19.975,12.192,5.738,4.388,3.577,7.17,2.938,4.571,8.038,28.748,5.756,6.625,16.032,3.565,3.532,4.251,1.322,3.625,1.732,1.126,0.55,0.858,0.463,0.608,1.476,1.008,0.564,1.354,0.589,1.817,0.563,0.267,0.114,0.077,0.062,0.106,0.03,0.028,0.037,0.033,0.035,0.035,0.051,0.052,0.095,0.159
0.223,0.185,0.173,0.203,0.709,0.634,0.359,0.523,25.942,8.449,2.747,9.282,23.005,6.228,56.62,16.956,3.383,2.145,1.464,10.458,6.972,17.239,19.551,3.61,10.755,2.837,3.578,1.247,1.104,8.255,4.756,2.565,0.733,5.239,2.599,61.428,20.945,8.269,3.748,2.616,1.831,1.229,1.008,1.028,1.223,1.11,1.353,71.861,7.568,3.347,11.148,5.017
17.144,5.969,6.05,17.17,4.533,4.441,15.006,6.371,5.749,7.222,18.897,10.785,43.544,29.879,14.941,34.184,9.368,4.742,4.031,3.572,8.171,2.158,1.728,1.209,0.995,0.63,0.63,1.894,3.48,2.152,0.928,1.739,0.667,0.706,0.385,10.974,3.657,0.661,1.287,0.727,0.45,0.373,0.295,2.775,5.03,9.797,2.08,2.241,1.435,13.513,3.27,2.243
67.902,23.705,53.401,7.202,12.095,17.748,53.244,9.081,5.319,4.172,38.403,31.811,21.047,75.446,29.839,7.687,5.757,4.009,2.963,2.617,1.675,1.106,0.918,6.757,1.903,1.537,1.014,0.708,9.393,5.56,4.839,1.721,0.699,0.772,7.189,0.627,2.06,0.457,0.518,4.736,1.217,2.074,0.845,0.511,0.531,1.314,0.845,0.898,3.061,10.962,10.421,9.464
51.352,11.112,55.077,13.895,25.309,13.521,8.254,12.714,8.386,6.595,7.299,7.019,4.899,28.193,7.467,5.049,51.008,8.535,4.187,4.342,2.289,2.197,8.831,4.18,3.245,2.092,6.913,1.688,1.588,1.362,12.375,6.705,11.355,8.214,6.267,10.308,2.235,1.126,0.786,9.033,5.318,3.702,2.262,1.745,1.454,6.79,2.197,2.067,1.72,1.558,1.537,3.943
17.812,9.163,3.756,8.352,4.297,2.906,2.689,4.663,4.213,12.037,6.161,3.268,2.368,5.869,13.8,2.689,1.856,1.386,1.041,1.811,2.256,1.628,7.699,9.204,73.744,17.661,9.073,12.442,8.562,112.59,12.56,5.384,3.068,1.746,1.431,2.347,1.046,3.309,1.293,1.105,0.86,0.791,1.375,0.906,1.191,0.923,19.289,3.171,11.969,5.835,2.451,14.906
4.951,6.627,10.407,8.378,16.23,27.283,22.389,7.672,31.628,12.199,25.007,7.247,22.337,17.673,6.593,6.66,7.11,30.444,4.86,3.048,3.009,2.976,3.886,2.811,5.52,1.812,13.357,3.061,5.304,10.642,3.448,2.134,45.852,8.711,31.358,4.369,2.054,1.506,1.266,2.677,1.36,1.131,0.869,1.424,2.046,1.132,2.578,1.327,1.217,1.145,1.261,6.699
1.987,3.898,6.476,2.263,2.603,36.903,9.425,22.552,6.102,9.418,12.358,5.412,4.918,3.414,8.714,8.413,6.097,3.088,2.498,1.964,30.481,14.953,3.459,4.35,18.046,2.21,1.511,2.145,1.399,1.091,1.889,0.844,41.268,9.687,6.691,1.735,2.098,1.04,0.669,0.624,0.551,0.509,0.496,1.738,0.837,38.828,3.695,2.799,1.982,2.126,3.657,14.79
7.534,3.501,11.983,5.88,3.54,2.963,5.866,2.852,2.518,14.023,4.437,3.911,12.382,12.511,5.286,2.838,3.884,1.961,1.655,1.163,0.888,0.95,1.087,2.347,0.988,0.774,1.402,1.61,1.844,1.113,0.699,0.442,0.333,0.371,0.478,1.903,0.539,0.198,0.108,0.081,0.057,0.049,0.044,0.05,0.049,0.042,0.047,0.05,0.111,0.194,0.215,0.307
0.264,0.243,0.27,0.417,0.396,1.297,8.282,1.865,5.005,15.065,2.609,2.983,5.312,1.786,1.915,1.1,0.779,8.89,1.858,23.835,8.188,1.36,2.432,3.422,1.112,0.767,2.127,3.105,1.505,2.661,1.224,10.386,14.823,5.502,1.898,3.735,1.328,0.69,6.246,1.229,6.489,38.286,9.4,3.715,2.401,2.134,23.844,8.386,14.012,8.104,7.202,24.371
7.327,5.07,13.767,18.957,16.988,36.818,8.654,4.873,3.526,22.585,8.241,11.736,10.159,4.128,5.311,22.22,5.303,3.069,2.666,2.197,4.167,1.935,3.001,1.923,1.269,0.89,1.969,6.306,1.209,0.499,0.337,0.235,0.158,0.096,0.491,0.406,0.477,0.262,0.338,0.2,0.122,0.075,0.062,0.063,0.091,0.293,0.223,0.164,0.168,0.194,0.182,1.975
8.923,1.399,11.577,1.739,1.164,4.435,25.536,10.635,5.364,14.651,20.337,22.325,17.752,6.646,43.248,13.726,9.385,3.635,7.705,2.009,6.927,2.095,1.145,1.341,1.714,0.726,0.332,0.646,6.993,0.689,4.427,3.105,0.554,0.572,0.607,0.229,0.253,44.537,9.341,47.9,2.643,9.1,9.388,2.309,2.1,1.68,1.943,24.883,12.486,9.871,4.205,4.838
12.126,10.067,5.907,3.931,2.794,3.29,43.04,23.722,10.395,9.4,4.638,4.128,3.075,2.244,2.015,9.738,5.35,2.813,2.02,4.703,2.997,3.127,1.112,2.681,5.58,1.046,1.8,4.029,26.787,21.704,3.899,6.023,5.205,11.5,2.08,2.334,13.436,106.73,4.109,3.781,2.767,2.035,2.184,1.785,1.726,1.918,2.381,1.878,14.39,4.061,4.108,49.561
10.284,15.752,10.219,13.918,21.821,34.492,10.205,8.178,4.939,5.062,4.397,6.494,4.029,2.918,4.427,2.963,3.245,4.304,2.642,4.613,6.025,2.283,1.439,0.935,2.767,1.177,5.62,15.078,1.629,1.163,0.836,0.622,0.465,0.625,0.59,0.283,1.061,0.494,0.799,0.422,2.438,0.72,0.43,0.692,0.615,2.692,2.942,1.374,0.91,0.83,2.552,1.924
4.486,15.588,28.585,7.086,3.344,2.452,2.125,4.565,4.755,6.49,17.398,5.135,3.892,4.435,8.014,6.678,3.2,2.683,1.924,1.328,2.746,1.702,0.974,0.754,1.087,1.228,0.595,1.519,0.457,0.483,0.476,4.166,0.556,1.214,0.465,0.554,0.72,0.455,14.127,0.793,2.781,4.872,1.575,12.991,17.916,26.191,17.908,5.019,3.232,5.697,4.724,3.212
2.497,17.23,7.325,5.683,4.906,22.489,62.684,10.956,10.689,27.95,10.886,7.875,6.337,25.21,8.425,12.075,4.481,3.166,2.969,2.229,2.53,34.772,3.821,2.774,2.106,1.688,1.487,0.629,5.658,3.485,3.24,4.395,1.643,1.061,0.715,0.454,0.405,0.391,0.356,22.448,3.638,1.675,1.399,1.248,11.663,4.029,17.542,54.182,29.699,6.6,8.817,27.734
21.317,8.843,5.724,9.326,16.078,19.709,13.404,12.239,7.521,5.227,4.41,12.095,9.178,9.608,8.916,5.571,6.71,14.213,12.421,3.845,2.759,2.001,1.51,1.426,1.166,0.885,0.981,1.217,7.45,1.085,2.924,1.197,2.401,2.212,10.742,1.736,1.15,3.505,0.943,0.757,2.321,0.852,0.746,33.773,3.769,2.387,1.899,2.242,1.662,5.843,3.18,4.323
2.478,2.526,8.563,4.447,6.059,5.679,5.313,4.791,3.14,2.788,2.865,15.019,4.381,2.95,2.249,2.312,2.08,5.123,2.643,5.599,1.785,10.788,6.816,1.597,3.002,20.239,3.827,12.591,7.331,3.545,5.017,2.172,0.988,0.761,0.628,0.573,2.448,2.767,1.38,1.229,1.227,0.642,2.401,1.028,0.942,0.811,0.974,1.401,13.219,3.938,2.001,2.066
1.89,3.997,3.226,2.44,3.794,8.169,4.428,5.749,3.139,3.579,14.391,12.815,4.697,20.819,20.983,4.264,4.566,3.147,2.406,1.615,1.368,0.982,4.214,4.475,4.022,9.87,2.183,1.283,2.087,4.539,1.15,0.765,0.467,0.344,0.229,0.216,0.239,0.271,0.237,0.155,0.143,0.121,0.124,0.34,0.761,0.346,0.366,0.303,2.463,0.719,31.266,3.844
2.192,17.08,2.867,19.072,27.061,12.126,6.886,5.286,24.562,45.859,16.468,19.676,16.34,8.157,3.819,2.779,21.154,7.333,3.767,2.708,9.563,2.648,1.82,1.23,2.242,2.276,4.558,9.968,1.211,0.824,13.099,15.241,1.786,2.421,44.753,4.436,1.779,2.315,2.127,1.196,1.576,1.064,0.876,0.898,0.923,2.697,61.775,4.691,4.348,8.524,4.926,11.747
12.401,26.95,5.986,24.791,8.439,9.176,28.786,19.748,15.647,12.644,18.372,35.361,10.446,7.692,14.822,5.775,3.545,4.161,2.669,2.395,2.257,1.289,1.302,32.261,5.142,3.067,1.576,0.792,2.04,0.695,0.358,0.263,0.197,0.173,0.132,0.121,0.128,0.074,0.255,0.229,0.119,0.101,0.059,0.078,0.068,0.08,0.119,0.149,0.239,3.276,0.967,0.565
0.356,0.605,18.564,29.97,3.67,2.071,1.555,5.71,14.116,4.096,27.048,5.769,17.393,7.365,3.553,8.191,2.153,1.833,1.309,5.63,5.507,1.339,0.856,8.336,1.936,0.654,0.347,1.191,4.827,0.712,0.868,0.47,0.24,0.324,0.141,0.077,0.032,0.039,0.033,0.036,0.026,6.49,0.242,0.122,0.288,0.258,4.106,1.636,2.726,11.152,2.124,1.295
0.91,2.21,1.372,3.781,1.812,18.058,7.711,5.036,8.949,24.156,12.821,12.422,3.315,2.315,20.467,7.823,7.52,2.217,1.578,2.707,8.347,1.479,1.349,1.314,0.705,0.506,0.442,39.677,2.034,1.216,2.564,0.77,77.186,4.567,2.716,3.84,1.615,1.577,1.452,41.967,3.015,2.08,1.374,1.313,2.368,2.001,2.498,2.389,1.863,1.59,1.387,1.477
1.267,1.236,1.184,1.537,6.239,26.186,6.26,9.819,7.203,4.462,26.969,8.399,3.563,6.743,27.441,8.347,3.414,29.827,7.455,2.57,2.185,4.55,3.407,1.205,1.041,0.811,0.453,1.199,2.523,1.059,3.016,0.967,1.112,1.517,0.433,1.417,0.624,0.265,2.875,1.026,0.848,0.976,6.259,7.764,3.172,2.033,1.798,1.42,1.118,1.399,5.384,12.015
2.185,1.826,1.432,6.454,57.327,13.357,5.645,6.703,31.194,7.893,4.886,10.716,5.468,5.651,10.132,4.846,23.234,3.042,1.877,1.675,2.747,2.002,5.016,1.112,0.673,0.876,0.5,0.315,0.763,0.45,0.319,0.514,0.235,8.144,1.065,0.45,0.463,1.091,1.74,3.69,0.674,0.41,0.441,0.995,1.021,1.067,21.18,13.004,15.365,7.306,5.148,6.718
3.184,19.558,10.994,29.859,7.32,10.224,4.364,5.755,29.638,6.101,5.019,10.563,15.242,22.527,29.905,7.568,7.766,25.85,23.052,4.587,3.185,2.713,2.283,1.694,1.511,3.787,1.23,3.026,8.615,3.095,4.501,1.297,4.225,2.904,1.583,0.622,0.364,0.298,0.37,0.816,0.428,0.285,0.383,0.827,0.633,0.44,0.451,0.553,0.597,0.511,0.792,46.319
9.254,3.113,5.278,7.919,4.624,13.534,16.496,4.689,4.833,14.41,3.76,2.746,6.083,10.374,19.533,13.711,10.727,3.517,2.374,2.752,2.59,2.283,29.455,2.047,1.328,0.799,0.497,2.244,2.513,4.872,5.938,1.754,0.753,1.131,0.903,3.258,0.799,0.406,1.858,1.146,12.786,6.171,8.723,3.828,6.647,3.264,13.768,5.607,3.441,3.62,17.774,7.775
14.332,9.081,4.718,3.828,21.84,43.382,39.021,24.57,11.633,9.05,21.365,39.496,25.311,49.109,9.881,6.529,7.417,5.934,5.786,3.352,2.819,23.947,3.353,2.169,1.902,1.872,2.524,2.706,0.941,0.694,2.214,3.206,1.35,8.164,3.359,3.426,2.095,1.21,1.063,1.48,2.712,1.88,2.049,1.842,1.704,1.683,1.608,1.579,1.105,3.643,2.18,2.343
3.753,1.692,5.369,2.345,2.581,28.188,5.816,37.271,13.799,7.953,5.845,31.246,19.23,12.612,16.617,9.318,5.222,5.578,23.382,6.765,3.531,2.483,2.049,2.373,41.026,28.99,3.353,1.932,2.059,1.32,1.875,1.407,0.536,8.072,2.765,1.021,0.584,0.521,0.165,0.135,0.123,0.474,0.617,0.631,0.683,0.827,1.008,0.47,0.304,2.27,7.921,3.759
44.659,7.359,6.439,17.656,13.087,4.984,5.816,14.658,17.538,13.472,17.004,13.799,16.262,29.822,30.149,7.389,4.926,4.244,2.935,2.365,1.696,2.303,3.308,2.226,3.599,3.674,15.709,2.269,1.416,1.457,1.267,7.385,4.065,1.275,0.819,1.028,0.852,2.43,1.096,3.434,1.003,0.785,0.752,1.113,35.867,4.717,14.956,3.976,7.27,2.967,3.531,20.563
5.697,5.431,17.388,7.508,8.455,6.201,11.779,14.866,12.701,37.744,27.033,11.04,7.982,5.846,4.837,3.591,2.73,3.144,2.02,1.737,1.973,1.926,1.388,0.95,1.241,1.12,1.446,0.641,0.497,3.302,1.697,0.88,0.367,0.741,0.352,0.341,0.734,0.334,1.573,0.423,0.231,0.119,0.174,0.442,13.65,1.15,0.997,5.728,1.975,5.229,2.67,5.251
8.545,14.154,6.439,16.647,4.687,18.99,18.844,13.442,10.296,6.499,8.961,8.458,7.864,16.854,39.941,7.093,4.775,3.797,2.61,2.208,1.629,1.685,1.41,0.867,0.864,0.718,0.395,1.509,1.496,2.787,1.899,0.905,1.214,0.629,10.325,1.693,3.455,1.162,0.722,10.369,2.362,4.968,1.803,1.5,2.042,1.559,1.517,2.572,4.54,3.323,3.174,18.516
3.352,3.175,2.907,8.191,4.004,37.063,8.933,7.804,14.334,17.419,27.419,11.068,10.059,4.777,3.738,3.886,6.677,3.501,2.551,1.842,1.378,1.195,0.906,32.166,3.977,13.501,9.614,67.626,9.525,4.272,8.249,4.687,3.708,2.908,1.526,1.13,2.157,1.053,1.002,1.59,1.265,0.758,0.545,0.674,0.947,1.08,1.145,0.734,0.68,0.707,0.728,0.814
1.336,0.909,1.711,6.618,3.768,8.13,30.445,12.462,60.445,13.651,4.984,3.707,2.995,2.612,2.461,3.351,20.801,18.012,4.066,2.788,6.853,3.041,1.693,1.38,2.282,0.915,0.662,0.936,0.706,0.324,0.676,0.705,2.234,0.312,0.114,0.084,0.27,6.706,0.759,0.667,0.359,2.569,1.875,1.671,1.133,2.713,1.096,1.978,1.18,2.422,1.564,9.108
3.264,4.955,4.242,2.67,1.836,5.026,18.367,18.339,4.42,3.353,3.737,4.866,2.61,2.006,1.749,3.274,7.21,2.461,3.616,6.35,17.507,2.937,1.813,1.171,1.788,1.057,2.172,2.356,1.231,0.757,2.649,1.38,0.689,11.086,3.311,1.24,1.16,1.235,1.371,0.775,0.671,0.994,0.509,0.467,0.425,0.422,0.514,0.692,2.3,6.334,6.848,18.576
6.141,20.802,12.256,5.52,4.718,3.292,2.402,2.063,2.701,2.337,24.806,8.131,4.539,4.954,3.679,2.581,2.641,2.967,1.793,2.02,1.437,4.76,1.494,1.193,0.888,0.515,0.731,2.862,0.829,0.431,0.273,0.494,0.206,0.158,0.068,0.066,0.031,0.024,0.036,0.034,0.354,1.11,0.425,0.2,0.305,5.733,4.558,1.177,3.08,2.605,1.852,5.694
3.678,1.701,12.701,5.726,20.326,10.208,4.272,4.124,6.705,28.428,5.044,16.231,4.51,5.075,3.531,16.41,4.094,2.394,1.759,3.879,2.201,2.686,1.845,7.029,2.847,1.166,0.826,1.511,0.497,0.386,1.838,0.799,3.682,0.641,0.313,0.313,0.232,0.757,0.94,15.976,1.089,0.617,0.557,0.476,0.536,0.653,0.822,0.671,0.9,3.341,2.03,7.398
